db_id,error_count,percent,top_error_category,top_fix_strategy,high_risk_count
baseball_1,21,14.48,ambiguous_column_reference,flatten_nested_aggregate,12
movie_1,17,11.72,invalid_nested_aggregate,flatten_nested_aggregate,11
manufactory_1,14,9.66,ambiguous_column_reference,qualify_ambiguous_column,0
election,11,7.59,invalid_nested_aggregate,flatten_nested_aggregate,11
wine_1,11,7.59,invalid_nested_aggregate,flatten_nested_aggregate,9
local_govt_in_alabama,10,6.90,invalid_nested_aggregate,flatten_nested_aggregate,10
network_1,10,6.90,invalid_nested_aggregate,flatten_nested_aggregate,10
journal_committee,10,6.90,invalid_column_reference,repair_invalid_column_reference,0
sakila_1,9,6.21,union_column_mismatch,rewrite_union_projection_arity,9
dog_kennels,8,5.52,invalid_column_reference,rewrite_except_projection_arity,6
college_3,5,3.45,malformed_sql_syntax,repair_sql_syntax,0
music_1,5,3.45,aggregate_in_group_by,replace_groupby_aggregate_expr,0
customers_and_products_contacts,3,2.07,invalid_nested_aggregate,flatten_nested_aggregate,3
tracking_orders,3,2.07,invalid_nested_aggregate,flatten_nested_aggregate,3
behavior_monitoring,2,1.38,invalid_nested_aggregate,add_groupby_for_orderby_count,2
cre_Drama_Workshop_Groups,2,1.38,ambiguous_column_reference,qualify_ambiguous_column,0
tracking_share_transactions,2,1.38,invalid_nested_aggregate,add_groupby_for_orderby_count,2
car_1,1,0.69,ambiguous_column_reference,qualify_ambiguous_column,0
flight_4,1,0.69,invalid_nested_aggregate,add_groupby_for_orderby_count,1
